name,image,watering,lightRequirement,description
Monstera,https://drive.google.com/file/d/1VA6CmgGXwXRr5o666VWlw0B9rlt_a3tq/view?usp=drive_link,Medium,Bright indirect light,"Monstera is a tropical plant known for its unique leaf patterns."
Snake Plant,https://drive.google.com/file/d/1WtzjP34uK2NOH3lMZYwp1a2FddKGnZWx/view?usp=drive_link,Low,Low to bright indirect light,"Snake Plant is a hardy plant that thrives in almost any condition."
Peace Lily,https://drive.google.com/file/d/1xtbR5zoas3OfIsgz3vVegqrEgRROvO7k/view?usp=drive_link,Medium,Low to medium indirect light,"Peace Lily is known for its beautiful white flowers and air-purifying qualities."
Aloe Vera,https://drive.google.com/file/d/1vabgp4PW0FLBN0k6A6nq9GVteccH13is/view?usp=drive_link,Low,Bright indirect light,"Aloe Vera is a succulent plant known for its medicinal properties."
Cactus,https://drive.google.com/file/d/19wi20s8O36ywgbm2-e343eRuZgbRTHvR/view?usp=drive_link,Very low,Full sunlight,"Cactus is a resilient plant that thrives in dry, arid environments."
Orchid,https://drive.google.com/file/d/1HVGUwZg83WJApCz2Oxj-9BA09opLl5sn/view?usp=drive_link,Medium,Bright indirect light,"Orchids are elegant plants known for their beautiful and intricate flowers."
Daisy,https://drive.google.com/file/d/1zUZ_rbq810DUVp5sFlwai1H0YVbhZBjF/view?usp=drive_link,Medium,Full sunlight,"Daisies are cheerful flowers that brighten up any garden or room."
Rose,https://drive.google.com/file/d/1M5_jZAj551JohOcjO3iAeFtNxu7rirja/view?usp=drive_link,Medium,Full sunlight,"Roses are classic flowers symbolizing love and beauty."
Violet,https://drive.google.com/file/d/1VabV5zFUFRV4lrc9DlRKAVKU1NtA7Uzn/view?usp=drive_link,Medium,Low to medium indirect light,"Violets are small, delicate plants with striking purple flowers."
Kalanchoe,https://drive.google.com/file/d/1rSud6QMctld6dQnV_6EHHhR2fiWbiEJO/view?usp=drive_link,Low,Bright indirect light,"Kalanchoe is a succulent known for its vibrant and long-lasting flowers."
Begonia,https://drive.google.com/file/d/1UH3xv_Q2bZZqWsI7pZ-awd_oucYrDBS2/view?usp=drive_link,Medium,Low to medium indirect light,"Begonias are versatile plants prized for their colorful foliage and flowers."
